PRODUCTOS;0,1;1;5;10;25;tambor - rollo
ACELERADOR 10%;;;;;34,21;30,67
ACELERADOR 2%;14,96;13,22;12,18;11,48;10,09;9,04
AEROSIL;87,41;77,25;71,15;67,08;58,95;
AGENTE DE DESPEGUE;;11,95;11,01;10,38;9,12;
ANTITACKING ;7,54;6,67;6,14;5,79;5,09;
DILUYENTE DE LIMPIEZA;;10,12;9,32;8,78;7,72;
SOLVENTE DE LMPIEZA;;6,23;5,74;5,41;4,75;
PREGEL;;10,39;9,57;9,02;7,93;
ADHEPLAST;;13,56;12,49;11,78;10,35;
PEROXIDO DE BENZOILO;;28,14;25,92;24,44;21,48;
DESMOLDANTE 305240-RG;;5,45;27,23;;7,9;
Cera desmoldante 840;;2,41;;;;
"CERA ""DESMOPLAST 808""";;9,42;;;;
CERA MIRROR GLAZE;;50,7;;;;
CATALIZADOR  MEK;13,01;11,5;10,59;9,98;8,77;7,87
CATALIZADOR EPOXY;31,22;27,59;25,41;23,96;21,05;18,88
FIBRA 300 ;5,72;5,06;4,66;4,39;3,86;3,46
FIBRA  450 ;5,72;5,06;4,66;4,39;3,86;3,46
Gelcoat NEGRO MATRICERO;19,59;17,31;15,94;15,03;13,21;
Gelcoat AZUL PILETERO ;13,76;12,16;11,2;10,56;9,28;
GELCOAT CELESTE;13,76;12,16;11,2;10,56;9,28;
Gelcoat NARANJA / MATRICERO;19,93;17,61;16,22;15,29;13,44;
Gelcoat NEGRO/BLANCO / GRIS;14,36;12,69;11,69;11,02;9,68;
Gel coat ROJO;15,5;13,7;12,62;11,9;10,46;
Gel coat verde;14,85;13,13;12,09;11,4;10,02;
MONOMERO STY;6,24;5,52;5,08;4,79;4,21;3,78
10;;3,08;;;1;
17;;3,08;;;1,08;
RP10;;2,88;;;0,9;
RR17;;2,88;;;1,25;
EPOXY;18,5;;;;12,48;
PINCEL DE 20°;;1,43;;;;
CAJA PINCEL 20' x12;;11,55;;;;
Tela 4 Nacional;10,9;9,63;8,87;8,37;7,35;6,59
Tela 6 Nacional;10,51;9,29;8,55;8,07;7,09;6,35
Tela 6 OZ IMPORTADA ;12,75;11,27;10,38;9,78;8,6;7,71
TELA 220;7,44;6,58;6,06;5,71;5,02;4,5
ROVING 330gr 15 CABOS;10,33;9,13;8,41;7,93;6,97;6,24
ROVING 600 GR 30 CABOS;12,75;11,27;10,38;9,78;8,6;7,71
VELO;4,55;;3,71;;3,07;
MICROESFERA;100,83;89,11;82,07;77,38;68;60,97
RESINA NAUTICA R11;7,28;5,92;5,42;5,08;4,91;4,4
RESINA NAUTICA R110;7,28;5,93;5,42;5,08;4,91;4,4
RESINA PRE ACELERADA R 29;7,62;6,73;6,2;5,85;5,14;4,61
RESINA EPOXY;14,74;13,02;12;11,31;9,94;8,91
FOAM 6'0';;58,84;;;;
FOAM 6´3;;64,2;;;;
FOAM 6´5 HUEVO;;81,17;;;;
FOAM 7´4;;83,6;;;;
FOAM 7´10;;94,7;;;;
FOAM 9´4;;118,09;;;;
FOAM 9'8';;120,53;;;;
PITERO (Plug de Pita);;2,6;;;;
TAPONES FREE LIFE x6;;23,88;;;;
CAJA FUTURE x3 (blanco);;38,4;;;;
QUILLA FUTURE;;29,34;;;;
"SISTEMA ""FCS"" x3 (blanco)";;20,9;;;;
"QUILLAS ""FCS"" ";;15,61;;;;
CAJONERA LONGBOARD;;31,32;;;;
QF-333 QUILLA FCS M3;;24,06;;;;
QUILLA-033 QUILLA FUT M3;;29,27;;;;
uv;22,53;19,91;;;;
ADHEPLAST;23,41;20,69;19,06;17,97;15,79;
TALCO;3,12;2,18;2,54;2,4;2,11;
policlean;;17,97;;;;
PFV;70,24;62,07;;;;
plancha pu;;42,27;;;;
cortina pvc rollo 50m;;144,38;;;;
BALDE NEGRO 20 L;8,98;7,93;;;;
BALDE NEGRO 10 L;5,26;4,64;;;;
BALDE BLANCO 20 L;9,94;8,78;;;;
BALDE BLANCO REC 20 L;12,1;10,69;;;;
BALDE BLANCO 10 L;6,45;5,7;;;;
BALDE BLANCO REC 10 L;5,83;5,15;;;;
GUANTES CAJA;11,45;10,12;;;;
GUANTES REF CAJA;11,45;10,12;;;;
GUANTES TEXT CAJA;11,45;10,12;;;;
GUANTES UNIDAD;0,11;0,1;;;;
GUANTES REF UNIDAD;0,11;0,1;;;;
GUANTES TEXT UNIDAD;0,11;0,1;;;;
DMA;;37,62;;;25,37;
PIGMENTOS;;3,122;;;;
